"Date","Price","Open","High","Low","Vol.","Change %"
"05/17/2022","433.980","432.750","434.915","430.950","17.20K","0.35%"
"05/16/2022","432.480","432.050","432.750","428.350","16.66K","0.16%"
"05/13/2022","431.780","433.850","433.850","426.550","17.06K","-0.42%"
"05/12/2022","433.580","440.850","440.850","431.350","17.54K","-1.59%"
"05/11/2022","440.580","439.350","445.350","438.850","17.23K","0.34%"
"05/06/2022","439.080","426.950","439.815","426.350","18.23K","2.91%"
"05/05/2022","426.680","438.150","438.150","422.350","17.55K","-2.56%"
"05/04/2022","437.880","440.350","440.350","434.850","17.83K","-0.50%"
"05/03/2022","440.080","443.350","443.350","438.850","16.83K","-0.68%"
"04/29/2022","443.080","446.855","449.255","440.850","18.04K","-0.78%"
"04/28/2022","446.580","446.955","450.855","445.350","18.51K","-0.02%"
"04/27/2022","446.680","451.355","454.060","446.155","16.85K","-0.98%"
"04/26/2022","451.080","449.455","454.560","449.455","17.53K","0.42%"
"04/25/2022","449.180","444.050","450.355","444.050","17.78K","1.19%"
"04/22/2022","443.880","443.150","445.650","442.850","17.97K","0.29%"
"04/21/2022","442.580","442.950","445.350","442.250","18.15K","0.05%"
"04/20/2022","442.380","445.650","446.155","442.650","16.33K","-0.61%"
"04/19/2022","445.080","443.650","446.955","441.150","17.53K","0.45%"
"04/18/2022","443.080","455.660","455.660","443.435","16.95K","-2.64%"
"04/15/2022","455.090","453.160","456.360","449.355","18.32K","0.55%"
"04/14/2022","452.590","450.155","454.060","445.650","17.89K","1.01%"
"04/13/2022","448.080","448.655","453.360","448.655","18.24K","0.00%"
"04/12/2022","448.080","449.655","453.160","447.355","15.93K","-0.22%"
"04/11/2022","449.080","443.650","454.360","443.650","16.73K","1.35%"
"04/08/2022","443.080","454.660","455.260","443.650","17.29K","-2.42%"
"04/07/2022","454.090","465.760","465.795","454.445","16.86K","-2.30%"
"04/06/2022","464.760","467.660","467.860","460.160","16.68K","-0.29%"
"04/05/2022","466.090","468.160","473.060","456.460","17.46K","-0.21%"
"04/04/2022","467.090","475.460","476.860","467.660","17.05K","-1.54%"
"04/01/2022","474.390","470.860","476.110","470.160","19.19K","0.98%"
"03/31/2022","469.790","466.160","472.095","465.360","18.28K","1.01%"
"03/30/2022","465.090","466.860","466.910","456.660","17.32K","-0.15%"
"03/29/2022","465.790","481.865","481.865","466.860","18.10K","-3.12%"
"03/28/2022","480.790","492.865","493.165","480.760","17.65K","-2.24%"
"03/25/2022","491.790","493.965","496.165","491.665","17.95K","-0.22%"
"03/24/2022","492.890","508.770","508.770","489.665","17.27K","-3.01%"
"03/18/2022","508.200","508.870","509.035","505.365","18.20K","-0.02%"
"03/17/2022","508.300","509.620","509.820","505.515","16.80K","0.00%"
"03/16/2022","508.300","515.420","515.420","507.620","17.45K","-1.13%"
"03/15/2022","514.100","518.725","518.725","513.120","17.32K","-0.64%"
"03/14/2022","517.400","525.125","525.125","515.120","17.34K","-1.13%"
"03/11/2022","523.300","521.125","527.125","514.120","17.14K","0.67%"
"03/10/2022","519.800","510.920","521.290","509.920","17.84K","1.90%"
"03/09/2022","510.100","510.420","513.920","507.920","16.99K","0.22%"
"03/04/2022","509.000","497.915","511.120","496.915","16.80K","2.50%"
"03/03/2022","496.590","496.415","499.415","488.115","17.19K","0.30%"
"03/02/2022","495.090","489.615","497.115","489.115","17.74K","1.54%"
"03/01/2022","487.590","490.115","498.615","479.610","17.97K","-0.10%"
"02/28/2022","488.090","460.110","502.615","460.110","19.45K","6.55%"
"02/25/2022","458.090","468.610","476.110","459.610","16.63K","-1.82%"
"02/24/2022","466.590","437.750","470.110","437.550","17.50K","6.68%"
"02/23/2022","437.380","437.250","438.350","436.685","18.21K","0.11%"
"02/22/2022","436.880","427.450","438.265","427.450","18.85K","2.29%"
"02/21/2022","427.080","428.450","430.600","426.800","17.02K","-0.23%"
"02/18/2022","428.080","428.850","429.700","427.810","16.63K","-0.14%"
"02/17/2022","428.680","427.950","429.815","427.825","17.67K","0.26%"
"02/16/2022","427.580","429.450","429.550","427.000","16.71K","-0.35%"
"02/15/2022","429.080","431.450","431.600","428.960","17.58K","-0.46%"
"02/14/2022","431.080","430.050","432.350","429.250","16.54K","0.33%"
"02/11/2022","429.680","427.350","430.300","426.735","16.94K","0.80%"
"02/10/2022","426.250","426.200","428.665","424.900","17.58K","0.10%"
"02/09/2022","425.830","427.850","428.050","425.660","17.53K","-0.39%"
"02/08/2022","427.480","430.450","430.600","427.285","16.88K","-0.60%"
"02/07/2022","430.080","431.950","432.250","429.985","16.45K","-0.35%"
"02/04/2022","431.580","434.900","434.900","431.925","16.72K","-0.69%"
"02/03/2022","434.580","433.500","435.150","433.300","16.84K","0.33%"
"02/02/2022","433.130","434.100","434.550","433.300","16.87K","-0.14%"
"02/01/2022","433.730","434.700","434.700","433.700","16.88K","-0.14%"
"01/31/2022","434.330","435.150","435.150","433.800","17.63K","-0.10%"
"01/28/2022","434.780","434.000","435.740","433.460","17.06K","0.41%"
"01/27/2022","433.000","435.000","435.700","433.660","16.51K","-0.42%"
"01/26/2022","434.830","436.050","436.150","434.485","17.18K","-0.20%"
"01/25/2022","435.680","437.000","437.025","435.310","12.68K","-0.22%"
"01/24/2022","436.630","436.100","437.050","434.700","16.46K","0.16%"
"01/21/2022","435.930","435.950","436.840","435.385","15.53K","0.03%"
"01/20/2022","435.780","436.650","436.650","434.700","14.83K","-0.16%"
"01/19/2022","436.480","435.950","437.050","434.450","14.63K","0.16%"
"01/18/2022","435.780","435.550","435.950","434.350","15.39K","0.09%"
"01/17/2022","435.380","435.400","435.965","434.785","15.03K","0.03%"
"01/14/2022","435.230","434.950","436.250","434.900","15.27K","0.10%"
"01/13/2022","434.780","434.700","434.950","434.250","14.25K","0.06%"
"01/12/2022","434.530","435.450","435.575","434.450","13.11K","0.02%"
"01/11/2022","434.450","435.450","435.450","435.450","","-0.19%"
